Central Pollution Control Board,,,,
LIST OF AQI STATIONS          Date - Time:14-09-2021 15:00:00,,,,
,,,,
S.No.,State,City,Station Name,Current AQI value
123,,,"Silk Board, Bengaluru - KSPCB",66.00
124,,Bidar,"Naubad, Bidar - KSPCB",44.00
125,,Chamarajanagar,"Urban, Chamarajanagar - KSPCB",39.00
126,,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB",68.00
127,,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB",25.00
128,,Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB",19.00
129,,Gadag,"Panchal Nagar, Gadag - KSPCB",22.00
130,,Hassan,"B.Katihalli, Hassan - KSPCB",52.00
131,,Hubballi,"Deshpande Nagar, Hubballi - KSPCB",35.00
132,,Kalaburagi,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",39.00
133,,Kolar,"Tamaka Ind. Area, Kolar - KSPCB",43.00
134,,Koppal,"Diwator Nagar, Koppal - KSPCB",58.00
135,,Madikeri,"Stuart Hill, Madikeri - KSPCB",26.00
136,,Mangalore,"Kadri, Mangalore - KSPCB",Insufficient data available in last 24 hours.
137,,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB",30.00
138,,Raichur,"Haji Colony, Raichur - KSPCB",33.00
139,,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB",36.00
140,,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB",35.00
141,,Udupi,"Brahmagiri, Udupi - KSPCB",Insufficient data available in last 24 hours.
142,,Vijayapura,"Ibrahimpur, Vijayapura - KSPCB",61.00
143,,Yadgir,"Collector Office, Yadgir - KSPCB",21.00
144,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB",70.00
145,,Ernakulam,"Kacheripady, Ernakulam - Kerala PCB",34.00
146,,Kannur,"Thavakkara, Kannur - Kerala PCB",No data available in Last 24 hour.
147,,Kochi,"Vyttila, Kochi - Kerala PCB",44.00
148,,Kollam,"Polayathode, Kollam - Kerala PCB",99.00
149,,Kozhikode,"Palayam, Kozhikode - Kerala PCB",49.00
150,,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB",50.00
151,,,"Plammoodu, Thiruvananthapuram - Kerala PCB",37.00
152,,Thrissur,"Corporation Ground, Thrissur - Kerala PCB",No data available in Last 24 hour.
153,Madhya Pradesh,Bhopal,"T T Nagar, Bhopal - MPPCB",47.00
154,,Damoh,"Shrivastav Colony, Damoh - MPPCB",Insufficient data available in last 24 hours.
155,,Dewas,"Bhopal Chauraha, Dewas - MPPCB",32.00
156,,Gwalior,"City Center, Gwalior - MPPCB",35.00
157,,,"Phool Bagh, Gwalior - Mondelez Ind. Food",66.00
158,,Indore,"Chhoti Gwaltoli, Indore - MPPCB",43.00
159,,Jabalpur,"Marhatal, Jabalpur - MPPCB",42.00
160,,Katni,"Gole Bazar, Katni - MPPCB",47.00
161,,Maihar,"Sahilara, Maihar - KJS Cements",20.00
162,,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",53.00
163,,Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB",75.00
164,,Ratlam,"Shasthri Nagar, Ratlam - IPCA Lab",47.00
165,,Sagar,"Deen Dayal Nagar, Sagar - MPPCB",26.00
166,,Satna,"Bandhavgar Colony, Satna - Birla Cement",43.00
167,,Singrauli,"Vindhyachal STPS, Singrauli - MPPCB",88.00
168,,Ujjain,"Mahakaleshwar Temple, Ujjain - MPPCB",65.00
169,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",378.00
170,,Chandrapur,"Chandrapur, Chandrapur - MPCB",18.00
171,,,"MIDC Khutala, Chandrapur - MPCB",17.00
172,,Kalyan,"Khadakpada, Kalyan - MPCB",No data available in Last 24 hour.
173,,Mumbai,"Bandra Kurla Complex, Mumbai - IITM",66.00
174,,,"Bandra, Mumbai - MPCB",103.00
175,,,"Borivali East, Mumbai - IITM",78.00
176,,,"Borivali East, Mumbai - MPCB",54.00
177,,,"Chakala-Andheri East, Mumbai - IITM",36.00
178,,,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",83.00
179,,,"Colaba, Mumbai - MPCB",73.00
180,,,"Deonar, Mumbai - IITM",56.00
181,,,"Kandivali East, Mumbai - MPCB",73.00
182,,,"Khindipada-Bhandup West, Mumbai - IITM",61.00
183,,,"Kurla, Mumbai - MPCB",Insufficient data available in last 24 hours.
184,,,"Malad West, Mumbai - IITM",No data available in Last 24 hour.
185,,,"Mazgaon, Mumbai - IITM",106.00
186,,,"Mulund West, Mumbai - MPCB",65.00
187,,,"Navy Nagar-Colaba, Mumbai - IITM",Insufficient data available in last 24 hours.
188,,,"Powai, Mumbai - MPCB",70.00
189,,,"Siddharth Nagar-Worli, Mumbai - IITM",53.00
190,,,"Sion, Mumbai - MPCB",29.00
191,,,"Vasai West, Mumbai - MPCB",32.00
192,,,"Vile Parle West, Mumbai - MPCB",Insufficient data available in last 24 hours.
193,,,"Worli, Mumbai - MPCB",76.00
194,,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",91.00
195,,Nashik,"Gangapur Road, Nashik - MPCB",25.00
196,,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",No data available in Last 24 hour.
197,,,"Mahape, Navi Mumbai - MPCB",68.00
198,,,"Nerul, Navi Mumbai - MPCB",63.00
199,,,"Sector-19A Nerul, Navi Mumbai - IITM",53.00
200,,Pune,"Alandi, Pune - IITM",No data available in Last 24 hour.
201,,,"Bhosari, Pune - IITM",42.00
202,,,"Hadapsar, Pune - IITM",No data available in Last 24 hour.
203,,,"Karve Road, Pune - MPCB",49.00
204,,,"MIT-Kothrud, Pune - IITM",51.00
205,,,"Mhada Colony, Pune - IITM",84.00
206,,,"Revenue Colony-Shivajinagar, Pune - IITM",128.00
207,,,"Transport Nagar-Nigdi, Pune - IITM",66.00
208,,Solapur,"Solapur, Solapur - MPCB",No data available in Last 24 hour.
209,,Thane,"Pimpleshwar Mandir, Thane - MPCB",No data available in Last 24 hour.
210,Meghalaya ,Shillong,"Lumpyngngad, Shillong - Meghalaya PCB",17.00
211,Mizoram,Aizawl,"Sikulpuikawn, Aizawl - Mizoram PCB",23.00
212,Nagaland,Kohima,"PWD Juction, Kohima - NPCB",36.00
213,Odisha,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB",43.00
214,,Talcher,"Talcher Coalfields,Talcher - OSPCB",Insufficient data available in last 24 hours.
215,Puducherry,Puducherry,"Jawahar Nagar, Puducherry - PPCC",47.00
216,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",62.00
217,,Bathinda ,"Hardev Nagar, Bathinda - PPCB",Insufficient data available in last 24 hours.
218,,Jalandhar,"Civil Line, Jalandhar - PPCB",57.00
219,,Khanna,"Kalal Majra, Khanna - PPCB",46.00
220,,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB",56.00
